task,s1_fail_or_pass,s1_time_token,s2_fail_or_pass,s2_time_token,s1_or_s2
A CD and a pan together cost $13. The CD costs $10 more than the pan. How much does the pan cost?,1,3.3496366666666666,1,3.048106666666667,1
A CD and a pan together cost $13. The CD costs $10. How much does the pan cost?,0,2.97355,0,2.72208,0
A bag and a coffee table together cost $53. The bag costs $50 more than the coffee table. How much does the coffee table cost?,1,2.976226666666667,1,3.3425066666666665,0
A bag and a coffee table together cost $53. The bag costs $50. How much does the coffee table cost?,0,2.9185033333333337,0,2.828796666666667,0
A bag and a food processor together cost $54. The bag costs $50 more than the food processor. How much does the food processor cost?,1,2.99974,1,3.116376666666667,0
A bag and a food processor together cost $54. The bag costs $50. How much does the food processor cost?,0,2.890753333333333,0,2.824873333333333,0
"A barrel is being filled with whiskey, and the total volume of whiskey doubles every minute. If it takes 12 minutes to completely fill the barrel, how long would it take to fill half of it with whiskey?",1,3.9224666666666663,1,2.879683333333334,1
"A barrel is being filled with whiskey. If it takes 12 minutes to completely fill the barrel, how long would it take to fill half of it with whiskey?",0,3.419513333333333,0,3.0206633333333333,0
A blanket and a flashlight together cost $52. The blanket costs $50 more than the flashlight. How much does the flashlight cost?,1,2.792123333333333,1,3.025816666666667,0
A blanket and a flashlight together cost $52. The blanket costs $50. How much does the flashlight cost?,0,3.704790000000001,0,2.869523333333333,0
A boat and a potato together cost $110. The boat costs $100 more than the potato. How much does the potato cost?,1,3.445816666666667,1,3.11517,1
A boat and a potato together cost $110. The boat costs $100. How much does the potato cost?,0,3.29595,0,2.9186300000000003,0
A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500 more than the pack of diapers. How much does the pack of diapers cost?,1,2.8309133333333336,1,3.13743,0
A bottle of bath salts and a pack of diapers together cost $510. The bottle of bath salts costs $500. How much does the pack of diapers cost?,0,3.23466,0,2.86488,0
A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500 more than the set of crayons. How much does the set of crayons cost?,1,2.9855700000000005,1,3.0342733333333336,0
A bottle of bath salts and a set of crayons together cost $520. The bottle of bath salts costs $500. How much does the set of crayons cost?,0,3.4728933333333334,0,2.88592,0
A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100 more than the knife. How much does the knife cost?,1,3.146583333333333,1,2.7677,1
A bottle of shampoo and a knife together cost $110. The bottle of shampoo costs $100. How much does the knife cost?,0,3.4238866666666667,0,3.380876666666667,0
A box of mascara and a microwave oven together cost $14. The box of mascara costs $10 more than the microwave oven. How much does the microwave oven cost?,1,2.893546666666667,1,3.0946933333333333,0
A box of mascara and a microwave oven together cost $14. The box of mascara costs $10. How much does the microwave oven cost?,0,2.95255,0,2.682823333333334,0
A can of baby food and a helmet together cost $1.20. The can of baby food costs $1 more than the helmet. How much does the helmet cost?,1,3.28985,1,2.888723333333333,1
A can of baby food and a helmet together cost $1.20. The can of baby food costs $1. How much does the helmet cost?,0,3.698006666666666,0,2.9992066666666664,0
A chair and a coat together cost $13. The chair costs $10 more than the coat. How much does the coat cost?,1,3.064966666666667,1,2.787103333333333,1
A chair and a coat together cost $13. The chair costs $10. How much does the coat cost?,0,3.203113333333333,0,2.7859600000000007,0
A coat and a pot together cost $510. The coat costs $500 more than the pot. How much does the pot cost?,1,3.09244,1,2.67882,1
A coat and a pot together cost $510. The coat costs $500. How much does the pot cost?,0,2.8740900000000003,0,3.06747,0
A coffee table and a mixing bowl together cost $52. The coffee table costs $50 more than the mixing bowl. How much does the mixing bowl cost?,1,3.4271100000000003,1,2.7825733333333336,1
A coffee table and a mixing bowl together cost $52. The coffee table costs $50. How much does the mixing bowl cost?,0,3.46464,0,2.7154633333333336,0
"A colony of bacteria is growing on yogurt, and the size of the colony doubles daily. If it takes 4 days for the colony to completely cover the yogurt, how many days does it take for the patch to cover half of the yogurt?",1,3.271416666666667,1,3.328463333333333,0
"A colony of bacteria is growing on yogurt. If it takes 4 days for the colony to completely cover the yogurt, how many days does it take for the patch to cover half of the yogurt?",1,2.7033533333333337,1,2.776736666666667,0
"A dust cloud hovers above the city, doubling in size each day. If it takes 12 days for the entire city to be engulfed by the cloud, how many days does it take for the cloud to cover half of the city?",1,3.0626866666666666,1,2.664706666666667,1
"A dust cloud hovers above the city. If it takes 12 days for the entire city to be engulfed by the cloud, how many days does it take for the cloud to cover half of the city?",0,3.281363333333333,1,2.9628366666666666,1
"A factory is busy filling bags with chocolate cookies. Given that it takes 8 hours to fill all the bags, how much time is required to fill half of the bags?",0,3.108726666666667,0,2.9722033333333333,0
"A factory is busy filling bags with chocolate cookies. The total number of bags filled doubles with each passing hour. Given that it takes 8 hours to fill all the bags, how much time is required to fill half of the bags?",1,3.1874466666666668,1,2.7756700000000003,1
"A farmer is plowing a field. Each hour, the total plowed area doubles. If it takes 10 hours for the entire field to be plowed, how long would it take for half of the field to be plowed?",1,2.7997,1,2.8265766666666665,0
"A farmer is plowing a field. If it takes 10 hours for the entire field to be plowed, how long would it take for half of the field to be plowed?",0,3.47718,0,3.1448,0
"A fly is traveling from point A to point B. If the fly reaches point B in 12 hours, how long does it take for the fly to cover half of the distance?",0,3.1741166666666665,0,2.786433333333333,0
"A fly is traveling from point A to point B. With each passing hour, the total distance it covered doubles. If the fly reaches point B in 12 hours, how long does it take for the fly to cover half of the distance?",1,3.63771,1,3.02788,1
"A forest is engulfed in flames. Each day, the overall area of the scorched forest doubles in size. If it takes 18 days for the entire forest to be consumed by the fire, how many days would it take for half of the forest to be burnt?",1,3.235253333333333,1,2.6395966666666664,1
"A forest is engulfed in flames. If it takes 18 days for the entire forest to be consumed by the fire, how many days would it take for half of the forest to be burnt?",0,3.1724266666666665,0,2.8913433333333334,0
"A forest is expanding on an island, with the area occupied by the trees doubling each year. If it takes 140 years for the entire island to be covered with trees, how many years would it take for the forest to cover half of the island?",1,3.005746666666667,1,2.60937,1
"A forest is expanding on an island. If it takes 140 years for the entire island to be covered with trees, how many years would it take for the forest to cover half of the island?",1,3.517106666666667,1,2.85612,1
"A gas cylinder is experiencing a leak. If it requires 4 hours for the entire gas to leak out, how much time is needed for half of the gas to escape?",0,3.1272800000000003,0,2.824923333333333,0
"A gas cylinder is experiencing a leak. With each passing hour, the total quantity of leaked gas doubles. If it requires 4 hours for the entire gas to leak out, how much time is needed for half of the gas to escape?",1,3.100496666666667,0,3.004656666666667,0
"A grandmother is knitting a scarf for her grandson. Each week, the scarf's length increases twofold. If it takes six weeks to complete the entire scarf, how long would it take to knit half of the scarf?",0,2.880653333333333,0,3.590973333333333,0
"A grandmother is knitting a scarf for her grandson. If it takes six weeks to complete the entire scarf, how long would it take to knit half of the scarf?",0,2.826423333333333,0,2.7157433333333336,0
A hat and a coffee table together cost $1.20. The hat costs $1 more than the coffee table. How much does the coffee table cost?,1,3.0650033333333333,1,2.869986666666667,1
A hat and a coffee table together cost $1.20. The hat costs $1. How much does the coffee table cost?,0,2.961916666666667,0,2.699286666666667,0
A hat and a mouse together cost $540. The hat costs $500 more than the mouse. How much does the mouse cost?,1,2.753316666666666,1,2.9672400000000003,0
A hat and a mouse together cost $540. The hat costs $500. How much does the mouse cost?,0,2.8141266666666667,0,2.9528,0
A jacket and a set of wine glasses together cost $5.10. The jacket costs $5 more than the set of wine glasses. How much does the set of wine glasses cost?,1,3.548936666666666,1,2.599193333333333,1
A jacket and a set of wine glasses together cost $5.10. The jacket costs $5. How much does the set of wine glasses cost?,0,3.4160233333333334,0,2.990826666666667,0
A keyboard and a pair of socks together cost $54. The keyboard costs $50 more than the pair of socks. How much does the pair of socks cost?,0,2.869943333333333,1,2.66825,1
A keyboard and a pair of socks together cost $54. The keyboard costs $50. How much does the pair of socks cost?,0,3.4788266666666665,0,2.891,0
A light bulb and a pan together cost $12. The light bulb costs $10 more than the pan. How much does the pan cost?,1,3.1895,1,3.09137,1
A light bulb and a pan together cost $12. The light bulb costs $10. How much does the pan cost?,0,3.90005,0,3.5737966666666665,0
A microwave oven and a flower box together cost $51. The microwave oven costs $50 more than the flower box. How much does the flower box cost?,1,2.8871366666666667,1,2.9136900000000003,0
A microwave oven and a flower box together cost $51. The microwave oven costs $50. How much does the flower box cost?,0,2.97555,0,2.7519666666666667,0
A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50 more than the laundry detergent. How much does the laundry detergent cost?,1,3.2547900000000003,1,2.636956666666667,1
A mixing bowl and a laundry detergent together cost $52. The mixing bowl costs $50. How much does the laundry detergent cost?,0,3.0688633333333333,0,2.7271500000000004,0
"A moss patch is expanding on a rock, doubling its size each day. It takes 300 days for the moss to completely cover the rock. How many days are required for the moss to cover half of the rock?",1,4.73163,1,3.080293333333333,1
A moss patch is expanding on a rock. It takes 300 days for the moss to completely cover the rock. How many days are required for the moss to cover half of the rock?,1,3.22333,1,3.081476666666667,1
A mouse and a can of baby food together cost $1.20. The mouse costs $1 more than the can of baby food. How much does the can of baby food cost?,1,3.2831200000000003,1,2.939966666666667,1
A mouse and a can of baby food together cost $1.20. The mouse costs $1. How much does the can of baby food cost?,0,3.393736666666667,0,3.19062,0
"A new concrete pavement is drying. If it requires four days for the entire pavement to dry completely, how many days does it take for half the pavement to become dry?",0,2.9744433333333333,0,2.65136,0
"A new concrete pavement is drying. The overall area of dried concrete doubles each day. If it requires four days for the entire pavement to dry completely, how many days does it take for half the pavement to become dry?",1,3.0881233333333338,1,3.06669,1
A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1 more than the coffee table. How much does the coffee table cost?,1,3.3124366666666667,1,2.94408,1
A pair of hiking boots and a coffee table together cost $1.20. The pair of hiking boots costs $1. How much does the coffee table cost?,0,3.119323333333333,0,2.74302,0
A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50 more than the body lotion. How much does the body lotion cost?,1,3.0527433333333334,1,2.49995,1
A pair of leggings and a body lotion together cost $54. The pair of leggings costs $50. How much does the body lotion cost?,0,3.40001,0,2.591973333333333,0
A pair of leggings and a scarf together cost $52. The pair of leggings costs $50 more than the scarf. How much does the scarf cost?,1,2.8792500000000003,1,2.795566666666667,1
A pair of leggings and a scarf together cost $52. The pair of leggings costs $50. How much does the scarf cost?,0,2.9004766666666666,0,2.8942566666666667,0
A pair of sunglasses and a light bulb together cost $130. The pair of sunglasses costs $100 more than the light bulb. How much does the light bulb cost?,1,2.8384466666666666,1,2.7623,1
A pair of sunglasses and a light bulb together cost $130. The pair of sunglasses costs $100. How much does the light bulb cost?,0,3.0270666666666664,0,2.51993,0
A pair of sunglasses and a toy together cost $13. The pair of sunglasses costs $10 more than the toy. How much does the toy cost?,1,3.0103866666666668,1,2.7349266666666665,1
A pair of sunglasses and a toy together cost $13. The pair of sunglasses costs $10. How much does the toy cost?,0,3.4091866666666664,0,2.4033933333333333,0
"A pandemic is occurring in a state where the total number of infected individuals doubles daily. If it takes 10 days for the entire state's population to become infected, how many days would it take for half of the state's population to be infected?",1,3.08725,1,3.0098866666666666,1
"A pandemic is occurring in a state. If it takes 10 days for the entire state's population to become infected, how many days would it take for half of the state's population to be infected?",0,3.286543333333333,0,2.856543333333333,0
"A patient has been diagnosed with cancer, and the number of cancer cells doubles each week. If it takes four weeks for the cancer cells to reach a critical amount, how long will it take for the cells to reach half of that critical amount?",0,2.879796666666666,0,2.9641533333333334,0
"A patient has been diagnosed with cancer. If it takes four weeks for the cancer cells to reach a critical amount, how long will it take for the cells to reach half of that critical amount?",0,3.0557466666666664,0,2.8304733333333334,0
A pear and a bottle of ouzo together cost $54. The pear costs $50 more than the bottle of ouzo. How much does the bottle of ouzo cost?,0,3.20668,1,2.6662,1
A pear and a bottle of ouzo together cost $54. The pear costs $50. How much does the bottle of ouzo cost?,0,3.556063333333333,0,2.9018,0
A pear and a fridge together cost $140. The pear costs $100 more than the fridge. How much does the fridge cost?,1,4.532616666666667,1,3.825513333333333,1
A pear and a fridge together cost $140. The pear costs $100. How much does the fridge cost?,0,4.181603333333334,0,3.74164,0
A pencil and a keyboard together cost $14. The pencil costs $10 more than the keyboard. How much does the keyboard cost?,1,2.9709833333333333,1,3.119073333333333,0
A pencil and a keyboard together cost $14. The pencil costs $10. How much does the keyboard cost?,0,3.8171366666666655,0,2.4861633333333333,0
A perfume and a bottle of ouzo together cost $120. The perfume costs $100 more than the bottle of ouzo. How much does the bottle of ouzo cost?,1,3.1718500000000005,1,2.772726666666667,1
A perfume and a bottle of ouzo together cost $120. The perfume costs $100. How much does the bottle of ouzo cost?,0,3.353186666666667,0,2.62937,0
A pizza and a toy together cost $13. The pizza costs $10 more than the toy. How much does the toy cost?,1,2.920773333333333,1,2.96302,0
A pizza and a toy together cost $13. The pizza costs $10. How much does the toy cost?,0,4.22259,0,2.861506666666667,0
"A pot of water is boiling on the stove, and with each passing hour, the overall volume of the evaporated water doubles. If the entire pot takes 6 hours to evaporate completely, how long does it take for half of the pot to evaporate?",0,3.166573333333333,0,2.909186666666667,0
"A pot of water is boiling on the stove. If the entire pot takes 6 hours to evaporate completely, how long does it take for half of the pot to evaporate?",0,3.17432,0,3.034393333333333,0
A potato and a camera together cost $1.40. The potato costs $1 more than the camera. How much does the camera cost?,1,2.88664,1,2.554436666666667,1
A potato and a camera together cost $1.40. The potato costs $1. How much does the camera cost?,0,3.35073,0,2.66685,0
A purse and a box of cigarettes together cost $1.40. The purse costs $1 more than the box of cigarettes. How much does the box of cigarettes cost?,1,3.17917,1,2.8457733333333337,1
A purse and a box of cigarettes together cost $1.40. The purse costs $1. How much does the box of cigarettes cost?,0,3.05071,0,3.12131,0
A purse and a mixing bowl together cost $5.40. The purse costs $5 more than the mixing bowl. How much does the mixing bowl cost?,1,2.7986566666666666,1,2.9766166666666667,0
A purse and a mixing bowl together cost $5.40. The purse costs $5. How much does the mixing bowl cost?,0,3.358893333333333,0,2.890406666666667,0
A rice cooker and a sculpture together cost $130. The rice cooker costs $100 more than the sculpture. How much does the sculpture cost?,1,3.366036666666666,1,3.1960533333333334,1
A rice cooker and a sculpture together cost $130. The rice cooker costs $100. How much does the sculpture cost?,0,3.247146666666666,0,2.57109,0
A rug and a sculpture together cost $54. The rug costs $50 more than the sculpture. How much does the sculpture cost?,1,3.5838666666666668,1,2.5773933333333336,1
A rug and a sculpture together cost $54. The rug costs $50. How much does the sculpture cost?,0,2.9214800000000003,0,2.720546666666667,0
A scarf and a ring together cost $1.20. The scarf costs $1 more than the ring. How much does the ring cost?,1,3.2596333333333334,1,2.959096666666667,1
A scarf and a ring together cost $1.20. The scarf costs $1. How much does the ring cost?,0,3.539753333333333,0,2.86879,0
A sculpture and a box of lipstick together cost $13. The sculpture costs $10 more than the box of lipstick. How much does the box of lipstick cost?,1,3.041926666666667,1,2.568773333333333,1
A sculpture and a box of lipstick together cost $13. The sculpture costs $10. How much does the box of lipstick cost?,0,3.3315300000000003,0,2.59159,0
"A section of grass is expanding within a garden, with the total area it occupies doubling daily. If it requires 12 days for the entire garden to be encompassed by the grass, how many days are needed for the grass to cover half of the garden?",1,3.132413333333333,1,3.64589,0
"A section of grass is expanding within a garden. If it requires 12 days for the entire garden to be encompassed by the grass, how many days are needed for the grass to cover half of the garden?",1,3.306483333333334,1,2.9532100000000003,1
A set of crayons and a wallet together cost $5.20. The set of crayons costs $5 more than the wallet. How much does the wallet cost?,1,3.325153333333333,1,2.83785,1
A set of crayons and a wallet together cost $5.20. The set of crayons costs $5. How much does the wallet cost?,0,2.9252066666666665,0,2.788656666666667,0
A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10 more than the pencil. How much does the pencil cost?,1,3.316776666666667,1,3.08437,1
A set of wine glasses and a pencil together cost $12. The set of wine glasses costs $10. How much does the pencil cost?,0,3.7791266666666665,0,2.79449,0
A set of wine glasses and a pizza together cost $53. The set of wine glasses costs $50 more than the pizza. How much does the pizza cost?,1,2.965183333333333,1,2.8003,1
A set of wine glasses and a pizza together cost $53. The set of wine glasses costs $50. How much does the pizza cost?,0,3.1108800000000003,0,2.98784,0
A silicone case and a lawnmower together cost $130. The silicone case costs $100 more than the lawnmower. How much does the lawnmower cost?,1,3.1364466666666666,1,3.38458,0
A silicone case and a lawnmower together cost $130. The silicone case costs $100. How much does the lawnmower cost?,0,3.3275366666666666,0,3.4276433333333336,0
A speaker and a bottle of ouzo together cost $5.20. The speaker costs $5 more than the bottle of ouzo. How much does the bottle of ouzo cost?,1,4.028723333333333,1,2.736876666666667,1
A speaker and a bottle of ouzo together cost $5.20. The speaker costs $5. How much does the bottle of ouzo cost?,0,3.2203966666666664,0,2.4610766666666666,0
A toy and a microwave oven together cost $5.40. The toy costs $5 more than the microwave oven. How much does the microwave oven cost?,1,3.063663333333334,1,2.7152766666666666,1
A toy and a microwave oven together cost $5.40. The toy costs $5. How much does the microwave oven cost?,0,3.4781600000000004,0,3.561293333333333,0
A trampoline and a box of batteries together cost $520. The trampoline costs $500 more than the box of batteries. How much does the box of batteries cost?,1,3.2570533333333334,1,2.879466666666667,1
A trampoline and a box of batteries together cost $520. The trampoline costs $500. How much does the box of batteries cost?,0,3.302123333333333,0,2.849556666666667,0
A trampoline and a flower box together cost $54. The trampoline costs $50 more than the flower box. How much does the flower box cost?,1,3.0991166666666667,1,3.020993333333333,1
A trampoline and a flower box together cost $54. The trampoline costs $50. How much does the flower box cost?,0,2.9349466666666664,0,2.6997,0
"A tree branch is falling, and with each passing second, the total distance it covered doubles. If it takes 6 seconds for the branch to reach the ground, how long would it take for it to cover one-half of the total distance?",0,3.1947233333333336,1,3.297376666666666,1
"A tree branch is falling. If it takes 6 seconds for the branch to reach the ground, how long would it take for it to cover one-half of the total distance?",0,3.095846666666666,0,3.2286233333333336,0
A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10 more than the pear. How much does the pear cost?,1,3.2168266666666665,1,2.73958,1
A tube of toothpaste and a pear together cost $12. The tube of toothpaste costs $10. How much does the pear cost?,0,3.439633333333333,0,2.6760300000000004,0
A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50 more than the wallet. How much does the wallet cost?,1,3.1058566666666665,1,2.7376733333333334,1
A tube of toothpaste and a wallet together cost $54. The tube of toothpaste costs $50. How much does the wallet cost?,0,3.638543333333333,0,3.102133333333333,0
A wall clock and a light bulb together cost $1.30. The wall clock costs $1 more than the light bulb. How much does the light bulb cost?,1,3.0099033333333334,1,3.0915,0
A wall clock and a light bulb together cost $1.30. The wall clock costs $1. How much does the light bulb cost?,0,3.46978,0,2.6760966666666666,0
A wallet and a camera together cost $52. The wallet costs $50 more than the camera. How much does the camera cost?,1,5.742586666666667,1,2.99376,1
A wallet and a camera together cost $52. The wallet costs $50. How much does the camera cost?,0,3.13553,0,2.68394,0
"A woman is in the process of growing her hair. Each year, the length of her hair doubles. If it takes six years for her hair to achieve a length of two meters, how long would it take for it to reach a length of one meter?",1,3.06751,1,3.08789,0
"A woman is in the process of growing her hair. If it takes six years for her hair to achieve a length of two meters, how long would it take for it to reach a length of one meter?",0,3.1741233333333336,0,2.788836666666666,0
"According to the Old Testament, how did Jesus die?",1,4.138553333333333,1,4.881966666666666,0
"An elderly woman regularly feeds cats. Each day, the number of cats she feeds doubles. If she feeds 64 cats on the 6th day, on which day does she feed 32 cats?",1,3.2180733333333333,1,2.7853100000000004,1
"An elderly woman regularly feeds cats. Each day, the number of cats she feeds increases. If she feeds 64 cats on the 6th day, on which day does she feed 32 cats?",0,3.3944666666666663,0,2.64067,0
"An iceberg is forming and its surface doubles every year. If the iceberg takes 10 years to grow to 10 square miles, how many years are required for it to grow to 5 square miles?",1,3.0646633333333333,1,3.3034266666666667,0
"An iceberg is forming. If the iceberg takes 10 years to grow to 10 square miles, how many years are required for it to grow to 5 square miles?",0,2.4754633333333333,0,2.8624433333333337,0
"An investor possesses 1 bitcoin. Each day, their number of bitcoins doubles. If it takes them 30 days to achieve their investment target, how long would it take for them to reach half of that target?",1,3.36299,1,2.933946666666666,1
"An investor possesses 1 bitcoin. If it takes them 30 days to achieve their investment target, how long would it take for them to reach half of that target?",0,3.2793433333333333,0,2.5848033333333333,0
"An orange tree is sprouting leaves. Given that it takes six months for the entire tree to be covered with leaves, how many months does it take for the tree to be half covered with leaves?",0,3.506956666666666,0,2.899563333333333,0
"An orange tree is sprouting leaves. The number of leaves doubles every month. Given that it takes six months for the entire tree to be covered with leaves, how many months does it take for the tree to be half covered with leaves?",0,3.0278900000000006,0,3.0349766666666667,0
"Ants are crawling on a cake, and with each passing minute, their population on the cake doubles. If the entire cake is covered with ants in 30 minutes, how long would it take for half of the cake to be covered with ants?",1,2.85702,1,2.6998,1
"Ants are crawling on a cake. If the entire cake is covered with ants in 30 minutes, how long would it take for half of the cake to be covered with ants?",0,2.79433,1,3.650963333333333,1
"Bamboo is growing in the garden, and its height doubles each day. It takes 5 days to reach a height of 10 meters. How long does it take for the bamboo to attain a height of 5 meters?",1,3.388396666666667,1,2.6294633333333333,1
Bamboo is growing in the garden. It takes 5 days to reach a height of 10 meters. How long does it take for the bamboo to attain a height of 5 meters?,0,3.182916666666667,0,3.036906666666667,0
"Beneath a tree, there is a heap of leaves that doubles in size every week. If it takes four weeks for the pile to attain a height of 4 meters, how much time is required for it to reach a height of 2 meters?",0,3.69115,1,2.899693333333333,1
"Beneath a tree, there is a heap of leaves. If it takes four weeks for the pile to attain a height of 4 meters, how much time is required for it to reach a height of 2 meters?",0,2.788193333333333,0,2.79852,0
Can a man marry his widow’s sister?,1,3.2527266666666663,1,3.937990000000001,0
"During winter, snowfall is occurring and the depth of the snow cover doubles every hour. If it takes 10 hours for the snow depth to reach 2 meters, how much time is required for it to reach a depth of 1 meter?",1,3.5100233333333333,1,2.652753333333333,1
"During winter, snowfall is occurring. If it takes 10 hours for the snow depth to reach 2 meters, how much time is required for it to reach a depth of 1 meter?",0,3.1552433333333334,0,2.69709,0
"During winter, the lake is gradually freezing. Each day, the ice covering the lake's surface doubles in size. If it takes 10 days for the entire surface of the lake to freeze, how long does it take for half of the lake's surface to become frozen?",1,2.8747133333333337,1,2.90342,0
"During winter, the lake is gradually freezing. If it takes 10 days for the entire surface of the lake to freeze, how long does it take for half of the lake's surface to become frozen?",1,3.41197,1,3.417733333333333,0
"Fish are migrating and each day, the total distance they cover doubles. If it takes the fish 18 days to reach their destination, how many days would it take for them to cover half the distance?",1,2.912076666666667,1,3.52282,0
"Fish are migrating. If it takes the fish 18 days to reach their destination, how many days would it take for them to cover half the distance?",0,3.132333333333333,0,2.8238866666666667,0
"Fish inhabit a creek, and their population doubles each week. If it requires 24 weeks for the entire creek to become completely filled with fish, how long would it take to fill half of the creek with fish?",1,2.746866666666667,1,2.68494,1
"Fish inhabit a creek. If it requires 24 weeks for the entire creek to become completely filled with fish, how long would it take to fill half of the creek with fish?",1,2.9064433333333337,1,2.8371166666666667,1
